省名,省会,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,2月1日,2月2日,2月3日
湖北省,武汉市,4,17,59,77,72,105,69,105,180,323,371,1291,840,1032,1220,1347,1921,2103,2345
广东省,广州市,0,0,0,1,13,12,6,21,25,20,48,42,53,78,56,127,84,79,114
北京市,北京市,0,0,0,0,5,5,4,12,10,15,17,12,11,3,11,7,27,23,16
上海市,上海市,0,0,0,0,2,7,7,4,13,7,13,13,14,16,16,25,24,11,15
浙江省,杭州市,0,0,0,0,0,5,5,33,19,42,24,45,123,132,139,62,62,63,105
天津市,天津市,0,0,0,0,0,2,2,1,3,2,4,9,1,2,1,2,9,7,12
重庆市,重庆市,0,0,0,0,0,5,4,18,30,18,35,22,15,28,25,32,24,25,37
江西省,南昌市,0,0,0,0,0,2,1,4,11,18,12,24,37,53,78,47,47,59,85
山东省,济南市,0,0,0,0,0,1,5,3,12,18,24,24,34,28,20,18,23,16,24
河南省,郑州市,0,0,0,0,0,1,4,4,23,51,45,40,38,72,74,70,71,73,109
湖南省,长沙市,0,0,0,0,0,1,8,15,19,26,31,43,78,56,55,57,74,58,72
四川省,成都市,0,0,0,0,0,2,3,10,13,16,25,21,18,34,35,30,24,23,28
云南省,昆明市,0,0,0,0,0,1,0,1,3,6,8,7,25,15,7,3,8,6,8
山西省,太原市,0,0,0,0,0,0,1,0,5,3,4,7,7,8,4,8,9,10,8
福建省,福州市,0,0,0,0,0,0,1,4,5,19,27,17,9,17,19,24,15,20,15
辽宁省,沈阳市,0,0,0,0,0,0,2,2,8,5,5,5,9,2,4,12,4,1,4
海南省,海口市,0,0,0,0,0,0,4,4,2,12,9,7,5,3,5,8,6,7,9
安徽省,合肥市,0,0,0,0,0,0,1,14,24,21,10,36,46,48,37,60,43,68,72
贵州省,贵阳市,0,0,0,0,0,0,3,0,1,1,2,2,0,3,3,14,9,8,10
广西壮族自治区,南宁市,0,0,0,0,0,0,2,11,10,10,13,5,7,20,9,13,11,16,12
宁夏回族自治区,银川市,0,0,0,0,0,0,1,1,1,1,3,4,1,5,4,5,2,3,3
河北省,石家庄市,0,0,0,0,0,0,1,1,6,5,5,15,15,17,17,14,8,9,13
江苏省,南京市,0,0,0,0,0,0,1,8,9,13,16,23,29,30,49,34,34,35,37
吉林省,长春市,0,0,0,0,0,0,1,2,1,0,2,2,1,5,0,3,6,8,11
黑龙江省,哈尔滨市,0,0,0,0,0,0,0,4,5,6,6,9,7,5,31,21,15,23,37
陕西省,西安市,0,0,0,0,0,0,3,2,10,7,13,11,10,7,24,15,15,12,14
新疆维吾尔自治区,乌鲁木齐市,0,0,0,0,0,0,0,2,1,1,1,5,3,1,3,1,3,3,5
甘肃省,兰州市,0,0,0,0,0,0,0,2,2,3,7,5,5,2,3,6,5,11,4
内蒙古自治区,呼和浩特市,0,0,0,0,0,0,0,1,1,5,4,2,2,2,2,3,4,5,1
青海省,西宁市,0,0,0,0,0,0,0,0,0,1,3,2,0,0,2,1,0,4,2
西藏自治区,拉萨市,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
香港特别行政区,香港,0,0,0,0,0,0,0,1,4,0,3,0,0,2,2,3,0,1,0
澳门特别行政区,澳门,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,1,0
台湾,台北,0,0,0,0,0,0,0,1,2,0,2,0,3,0,1,1,0,0,0
